ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",767871,0,0.2057,0.7841,0.0103,616550,0.8959,0.1041,0.0376,0.0274,0.0108,0.0246,0.0011,
"2",767871,0,0.3238,0.6624,0.0138,609512,0.843,0.157,0.0434,0.063,0.0224,0.0252,0.0011,
"3",767871,0,0.3148,0.6721,0.0132,606482,0.799,0.201,0.0478,0.1044,0.0188,0.0284,0.0011,
"4",767871,0,0.3731,0.6124,0.0145,586518,0.6735,0.3265,0.1113,0.1559,0.0374,0.0246,0.0014,
"5",767871,0,0.3779,0.6087,0.0134,586652,0.6362,0.3638,0.0471,0.2787,0.0174,0.0201,0.0018,
"6",767871,0,0.3608,0.6259,0.0133,614497,0.7905,0.2095,0.0548,0.1061,0.0243,0.023,0.0012,
"7",767871,0,0.3808,0.6048,0.0144,593732,0.7491,0.2509,0.0579,0.1437,0.0249,0.0233,0.0021,
"8",767871,0,0.3922,0.5936,0.0141,590123,0.6283,0.3717,0.057,0.2657,0.0309,0.0182,0.0012,
"9",767872,0,0.3877,0.5992,0.0131,580407,0.5823,0.4177,0.056,0.3167,0.0285,0.0179,0.0011,
"",767871,0,0.3447,0.6419,0.0133,598275,0.7351,0.2649,0.0568,0.1606,0.0238,0.0229,0.0013,
